Catcher,Pitcher,Hitter,Pitch,Swing,Strike,Balls,Strikes,Outs,1B,2B,3B
simms,burns,rak,0,1,1,0,0,0,0,0,0
simms,burns,rak,1,0,0,0,1,0,0,0,0
simms,burns,rak,0,0,0,1,1,0,0,0,0
simms,burns,rak,0,1,1,2,2,0,0,0,0
simms,burns,rak,0,0,0,3,2,0,0,0,0
simms,burns,rak,0,0,0,3,2,0,0,0,0
simms,burns,plant,0,1,0,0,0,0,1,0,0
simms,burns,plant,1,1,1,0,1,0,1,0,0
simms,burns,parker,0,1,1,0,0,2,0,0,0
simms,burns,parker,0,1,1,0,1,0,0,0,0
simon,jakin,dame,0,0,0,0,0,0,0,0,0
simon,jakin,dame,0,0,0,1,0,0,0,0,0
simon,jakin,dame,1,0,0,2,0,0,0,0,0
simon,jakin,dame,0,1,1,3,0,0,0,0,0
simon,jakin,dame,0,1,1,3,1,0,0,0,0
simon,jakin,dame,0,1,1,3,2,0,0,0,0
simon,jakin,aryo,0,1,1,0,0,0,1,0,0
simon,jakin,aryo,0,1,1,0,1,0,0,0,0
simon,jakin,aryo,0,1,0,0,2,0,0,0,0
simon,jakin,simms,0,1,1,0,0,1,0,0,0
simon,jakin,fast,0,1,1,0,0,1,1,0,0
simon,jakin,fast,0,0,0,0,1,2,0,1,0
simon,jakin,fast,0,0,0,1,1,2,0,0,0
simon,jakin,fast,0,0,0,2,1,2,0,0,0
simon,jakin,rak,0,0,0,0,0,2,1,1,0
simon,jakin,rak,0,0,0,1,0,2,1,1,0
simon,jakin,rak,1,1,0,2,0,2,1,1,0
simon,jakin,rak,0,0,0,2,1,2,0,0,0
simon,jakin,rak,0,1,0,3,1,2,0,0,0
simon,jakin,rak,0,1,1,3,2,2,0,0,0
simon,jakin,rak,1,0,0,3,2,2,0,0,0
simon,jakin,plant,1,0,0,0,0,2,1,1,1
simon,jakin,plant,0,0,0,1,0,2,0,0,0
simon,jakin,plant,1,1,0,1,1,2,0,0,0
simon,jakin,plant,0,1,1,1,2,2,0,0,0
simon,jakin,parker,1,0,0,0,0,2,1,1,0
simon,jakin,parker,0,0,0,1,0,2,0,0,0
simon,jakin,parker,0,1,1,2,1,2,0,0,0
simon,jakin,parker,0,1,0,2,2,2,0,0,0
simon,jakin,parker,0,0,0,2,2,2,0,0,0
simon,jakin,parker,1,1,0,3,2,3,0,0,0
simms,burns,dame,0,1,1,0,0,0,0,0,0
simms,burns,dame,1,0,0,0,1,0,0,0,0
simms,burns,dame,0,0,0,1,1,0,0,0,0
simms,burns,dame,0,0,0,2,1,0,0,0,0
simms,burns,dame,0,1,1,3,1,0,0,0,0
simms,burns,dame,0,0,0,3,2,0,0,0,0
simms,burns,aryo,0,0,0,0,0,0,1,0,0
simms,burns,aryo,0,0,1,1,0,0,0,1,0
simms,burns,aryo,0,0,0,1,1,0,0,0,0
simms,burns,aryo,0,0,0,2,1,0,0,0,0
simms,burns,aryo,0,0,0,3,1,0,0,0,0
simms,burns,simon,0,1,1,0,0,0,1,0,1
simms,burns,simon,0,1,1,0,1,0,0,0,0
simms,burns,simon,0,0,1,0,2,0,0,0,0
simms,burns,fast,1,0,0,0,0,1,0,0,0
simms,burns,fast,0,1,1,1,1,1,0,0,0
